#rd	dp	o	v	av	la
0.000000	0.500000	30.000000	1.000000	-1.000000	0.000000
0.000000	0.500000	37.500000	0.000000	0.125000	1.000000
0.000000	0.500000	37.500000	0.200000	-0.375000	1.000000
0.000000	0.500000	37.500000	0.400000	-0.750000	1.000000
0.000000	0.500000	37.500000	0.600000	-1.000000	1.000000
0.000000	0.500000	37.500000	0.800000	-1.000000	0.000000
0.000000	0.500000	37.500000	1.000000	-1.000000	0.000000
0.000000	0.500000	45.000000	0.000000	0.125000	1.000000
0.000000	0.500000	45.000000	0.200000	-0.375000	1.000000
0.000000	0.500000	45.000000	0.400000	-0.875000	1.000000
0.000000	0.500000	45.000000	0.600000	-1.000000	0.000000
0.000000	0.500000	45.000000	0.800000	-1.000000	0.000000
0.000000	0.500000	45.000000	1.000000	-1.000000	0.000000
0.000000	1.000000	-45.000000	0.000000	-1.000000	-1.000000
0.000000	1.000000	-45.000000	0.200000	-1.000000	-1.000000
0.000000	1.000000	-45.000000	0.400000	-1.000000	-1.000000
0.000000	1.000000	-45.000000	0.600000	-1.000000	0.000000
0.000000	1.000000	-45.000000	0.800000	-1.000000	0.000000
0.000000	1.000000	-45.000000	1.000000	-1.000000	0.000000
0.000000	1.000000	-37.500000	0.000000	0.125000	-1.000000
0.000000	1.000000	-37.500000	0.200000	-0.375000	-1.000000
0.000000	1.000000	-37.500000	0.400000	-0.875000	-1.000000
0.000000	1.000000	-37.500000	0.600000	-1.000000	-1.000000
0.000000	1.000000	-37.500000	0.800000	-1.000000	0.000000
0.000000	1.000000	-37.500000	1.000000	-1.000000	0.000000
0.000000	1.000000	-30.000000	0.000000	0.125000	-1.000000
0.000000	1.000000	-30.000000	0.200000	-0.375000	-1.000000
0.000000	1.000000	-30.000000	0.400000	-0.750000	-1.000000
0.000000	1.000000	-30.000000	0.600000	-1.000000	-1.000000
0.000000	1.000000	-30.000000	0.800000	-1.000000	0.000000
0.000000	1.000000	-30.000000	1.000000	-1.000000	0.000000
0.000000	1.000000	-22.500000	0.000000	0.250000	-1.000000
0.000000	1.000000	-22.500000	0.200000	-0.250000	-1.000000
0.000000	1.000000	-22.500000	0.400000	-0.750000	-1.000000
0.000000	1.000000	-22.500000	0.600000	-1.000000	-1.000000
0.000000	1.000000	-22.500000	0.800000	-1.000000	-1.000000
0.000000	1.000000	-22.500000	1.000000	-1.000000	0.000000
0.000000	1.000000	-15.000000	0.000000	0.250000	-1.000000
0.000000	1.000000	-15.000000	0.200000	-0.250000	-1.000000
0.000000	1.000000	-15.000000	0.400000	-0.750000	-1.000000
0.000000	1.000000	-15.000000	0.600000	-1.000000	-1.000000
0.000000	1.000000	-15.000000	0.800000	-1.000000	-1.000000
0.000000	1.000000	-15.000000	1.000000	-1.000000	-1.000000
0.000000	1.000000	-7.500000	0.000000	0.250000	-0.500000
0.000000	1.000000	-7.500000	0.200000	-0.125000	-1.000000
0.000000	1.000000	-7.500000	0.400000	-0.625000	-1.000000
0.000000	1.000000	-7.500000	0.600000	-1.000000	-1.000000
0.000000	1.000000	-7.500000	0.800000	-1.000000	-1.000000
0.000000	1.000000	-7.500000	1.000000	-1.000000	-1.000000
0.000000	1.000000	0.000000	0.000000	0.250000	0.000000
0.000000	1.000000	0.000000	0.200000	-0.125000	0.000000
0.000000	1.000000	0.000000	0.400000	-0.625000	0.000000
0.000000	1.000000	0.000000	0.600000	-1.000000	0.000000
0.000000	1.000000	0.000000	0.800000	-1.000000	0.000000
0.000000	1.000000	0.000000	1.000000	-1.000000	0.000000
0.000000	1.000000	7.500000	0.000000	0.250000	0.500000
0.000000	1.000000	7.500000	0.200000	-0.125000	1.000000
0.000000	1.000000	7.500000	0.400000	-0.625000	1.000000
0.000000	1.000000	7.500000	0.600000	-1.000000	1.000000
0.000000	1.000000	7.500000	0.800000	-1.000000	1.000000
0.000000	1.000000	7.500000	1.000000	-1.000000	1.000000
0.000000	1.000000	15.000000	0.000000	0.250000	1.000000
0.000000	1.000000	15.000000	0.200000	-0.250000	1.000000
0.000000	1.000000	15.000000	0.400000	-0.750000	1.000000
0.000000	1.000000	15.000000	0.600000	-1.000000	1.000000
0.000000	1.000000	15.000000	0.800000	-1.000000	1.000000
0.000000	1.000000	15.000000	1.000000	-1.000000	1.000000
0.000000	1.000000	22.500000	0.000000	0.250000	1.000000
0.000000	1.000000	22.500000	0.200000	-0.250000	1.000000
0.000000	1.000000	22.500000	0.400000	-0.750000	1.000000
0.000000	1.000000	22.500000	0.600000	-1.000000	1.000000
0.000000	1.000000	22.500000	0.800000	-1.000000	1.000000
0.000000	1.000000	22.500000	1.000000	-1.000000	0.000000
0.000000	1.000000	30.000000	0.000000	0.125000	1.000000
0.000000	1.000000	30.000000	0.200000	-0.375000	1.000000
0.000000	1.000000	30.000000	0.400000	-0.750000	1.000000
0.000000	1.000000	30.000000	0.600000	-1.000000	1.000000
0.000000	1.000000	30.000000	0.800000	-1.000000	0.000000
0.000000	1.000000	30.000000	1.000000	-1.000000	0.000000
0.000000	1.000000	37.500000	0.000000	0.125000	1.000000
0.000000	1.000000	37.500000	0.200000	-0.375000	1.000000
0.000000	1.000000	37.500000	0.400000	-0.875000	1.000000
0.000000	1.000000	37.500000	0.600000	-1.000000	1.000000
0.000000	1.000000	37.500000	0.800000	-1.000000	0.000000
0.000000	1.000000	37.500000	1.000000	-1.000000	0.000000
0.000000	1.000000	45.000000	0.000000	-1.000000	1.000000
0.000000	1.000000	45.000000	0.200000	-1.000000	1.000000
0.000000	1.000000	45.000000	0.400000	-1.000000	1.000000
0.000000	1.000000	45.000000	0.600000	-1.000000	0.000000
0.000000	1.000000	45.000000	0.800000	-1.000000	0.000000
0.000000	1.000000	45.000000	1.000000	-1.000000	0.000000
0.000000	1.500000	-45.000000	0.000000	0.125000	-1.000000
0.000000	1.500000	-45.000000	0.200000	-0.375000	-1.000000
0.000000	1.500000	-45.000000	0.400000	-0.750000	-1.000000
0.000000	1.500000	-45.000000	0.600000	-1.000000	-1.000000
0.000000	1.500000	-45.000000	0.800000	-1.000000	0.000000
0.000000	1.500000	-45.000000	1.000000	-1.000000	0.000000
0.000000	1.500000	-37.500000	0.000000	0.250000	-1.000000
0.000000	1.500000	-37.500000	0.200000	-0.250000	-1.000000
0.000000	1.500000	-37.500000	0.400000	-0.750000	-1.000000
0.000000	1.500000	-37.500000	0.600000	-1.000000	-1.000000
0.000000	1.500000	-37.500000	0.800000	-1.000000	0.000000
0.000000	1.500000	-37.500000	1.000000	-1.000000	0.000000
0.000000	1.500000	-30.000000	0.000000	0.250000	-1.000000
0.000000	1.500000	-30.000000	0.200000	-0.250000	-1.000000
0.000000	1.500000	-30.000000	0.400000	-0.750000	-1.000000
0.000000	1.500000	-30.000000	0.600000	-1.000000	-1.000000
0.000000	1.500000	-30.000000	0.800000	-1.000000	-1.000000
0.000000	1.500000	-30.000000	1.000000	-1.000000	0.000000
0.000000	1.500000	-22.500000	0.000000	0.250000	-1.000000
0.000000	1.500000	-22.500000	0.200000	-0.125000	-1.000000
0.000000	1.500000	-22.500000	0.400000	-0.625000	-1.000000
0.000000	1.500000	-22.500000	0.600000	-1.000000	-1.000000
0.000000	1.500000	-22.500000	0.800000	-1.000000	-1.000000
0.000000	1.500000	-22.500000	1.000000	-1.000000	-1.000000
0.000000	1.500000	-15.000000	0.000000	0.375000	-0.700000
0.000000	1.500000	-15.000000	0.200000	-0.125000	-0.650000
0.000000	1.500000	-15.000000	0.400000	-0.625000	-0.600000
0.000000	1.500000	-15.000000	0.600000	-1.000000	-0.900000
0.000000	1.500000	-15.000000	0.800000	-1.000000	-1.000000
0.000000	1.500000	-15.000000	1.000000	-1.000000	-1.000000
0.000000	1.500000	-7.500000	0.000000	0.375000	0.250000
0.000000	1.500000	-7.500000	0.200000	-0.125000	0.350000
0.000000	1.500000	-7.500000	0.400000	-0.625000	0.400000
0.000000	1.500000	-7.500000	0.600000	-1.000000	0.100000
0.000000	1.500000	-7.500000	0.800000	-1.000000	-0.500000
0.000000	1.500000	-7.500000	1.000000	-1.000000	-0.650000
0.000000	1.500000	0.000000	0.000000	0.375000	1.000000
0.000000	1.500000	0.000000	0.200000	-0.125000	1.000000
0.000000	1.500000	0.000000	0.400000	-0.625000	1.000000
0.000000	1.500000	0.000000	0.600000	-1.000000	1.000000
0.000000	1.500000	0.000000	0.800000	-1.000000	0.500000
0.000000	1.500000	0.000000	1.000000	-1.000000	0.350000
0.000000	1.500000	7.500000	0.000000	0.250000	0.500000
0.000000	1.500000	7.500000	0.200000	-0.125000	1.000000
0.000000	1.500000	7.500000	0.400000	-0.625000	1.000000
0.000000	1.500000	7.500000	0.600000	-1.000000	1.000000
0.000000	1.500000	7.500000	0.800000	-1.000000	1.000000
0.000000	1.500000	7.500000	1.000000	-1.000000	1.000000
0.000000	1.500000	15.000000	0.000000	0.250000	1.000000
0.000000	1.500000	15.000000	0.200000	-0.250000	1.000000
0.000000	1.500000	15.000000	0.400000	-0.750000	1.000000
0.000000	1.500000	15.000000	0.600000	-1.000000	1.000000
0.000000	1.500000	15.000000	0.800000	-1.000000	1.000000
0.000000	1.500000	15.000000	1.000000	-1.000000	1.000000
0.000000	1.500000	22.500000	0.000000	0.250000	1.000000
0.000000	1.500000	22.500000	0.200000	-0.250000	1.000000
0.000000	1.500000	22.500000	0.400000	-0.750000	1.000000
0.000000	1.500000	22.500000	0.600000	-1.000000	1.000000
0.000000	1.500000	22.500000	0.800000	-1.000000	1.000000
0.000000	1.500000	22.500000	1.000000	-1.000000	0.000000
0.000000	1.500000	30.000000	0.000000	0.125000	1.000000
0.000000	1.500000	30.000000	0.200000	-0.375000	1.000000
0.000000	1.500000	30.000000	0.400000	-0.750000	1.000000
0.000000	1.500000	30.000000	0.600000	-1.000000	1.000000
0.000000	1.500000	30.000000	0.800000	-1.000000	0.000000
0.000000	1.500000	30.000000	1.000000	-1.000000	0.000000
0.000000	1.500000	37.500000	0.000000	-1.000000	1.000000
0.000000	1.500000	37.500000	0.200000	-0.375000	1.000000
0.000000	1.500000	37.500000	0.400000	-0.875000	1.000000
0.000000	1.500000	37.500000	0.600000	-1.000000	1.000000
0.000000	1.500000	37.500000	0.800000	-1.000000	0.000000
0.000000	1.500000	37.500000	1.000000	-1.000000	0.000000
0.000000	1.500000	45.000000	0.000000	-1.000000	1.000000
0.000000	1.500000	45.000000	0.200000	-1.000000	1.000000
0.000000	1.500000	45.000000	0.400000	-1.000000	1.000000
0.000000	1.500000	45.000000	0.600000	-1.000000	0.000000
0.000000	1.500000	45.000000	0.800000	-1.000000	0.000000
0.000000	1.500000	45.000000	1.000000	-1.000000	0.000000
0.000000	2.000000	-45.000000	0.000000	0.250000	-1.000000
0.000000	2.000000	-45.000000	0.200000	-0.250000	-1.000000
0.000000	2.000000	-45.000000	0.400000	-0.750000	-1.000000
0.000000	2.000000	-45.000000	0.600000	-1.000000	-1.000000
0.000000	2.000000	-45.000000	0.800000	-1.000000	0.000000
0.000000	2.000000	-45.000000	1.000000	-1.000000	0.000000
0.000000	2.000000	-37.500000	0.000000	0.375000	-1.000000
0.000000	2.000000	-37.500000	0.200000	-0.125000	-1.000000
0.000000	2.000000	-37.500000	0.400000	-0.625000	-1.000000
0.000000	2.000000	-37.500000	0.600000	-1.000000	-1.000000
0.000000	2.000000	-37.500000	0.800000	-1.000000	-1.000000
0.000000	2.000000	-37.500000	1.000000	-1.000000	0.000000
0.000000	2.000000	-30.000000	0.000000	0.375000	-1.000000
0.000000	2.000000	-30.000000	0.200000	-0.125000	-1.000000
0.000000	2.000000	-30.000000	0.400000	-0.625000	-1.000000
0.000000	2.000000	-30.000000	0.600000	-1.000000	-1.000000
0.000000	2.000000	-30.000000	0.800000	-1.000000	-1.000000
0.000000	2.000000	-30.000000	1.000000	-1.000000	0.000000
0.000000	2.000000	-22.500000	0.000000	0.500000	-1.000000
0.000000	2.000000	-22.500000	0.200000	0.000000	-1.000000
0.000000	2.000000	-22.500000	0.400000	-0.500000	-0.900000
0.000000	2.000000	-22.500000	0.600000	-1.000000	-0.800000
0.000000	2.000000	-22.500000	0.800000	-1.000000	-1.000000
0.000000	2.000000	-22.500000	1.000000	-1.000000	-1.000000
0.000000	2.000000	-15.000000	0.000000	0.500000	-0.100000
0.000000	2.000000	-15.000000	0.200000	0.000000	0.000000
0.000000	2.000000	-15.000000	0.400000	-0.500000	0.100000
0.000000	2.000000	-15.000000	0.600000	-1.000000	0.200000
0.000000	2.000000	-15.000000	0.800000	-1.000000	-0.950000
0.000000	2.000000	-15.000000	1.000000	-1.000000	-1.000000
0.000000	2.000000	-7.500000	0.000000	0.500000	0.950000
0.000000	2.000000	-7.500000	0.200000	0.000000	1.000000
0.000000	2.000000	-7.500000	0.400000	-0.500000	1.000000
0.000000	2.000000	-7.500000	0.600000	-1.000000	1.000000
0.000000	2.000000	-7.500000	0.800000	-1.000000	0.050000
0.000000	2.000000	-7.500000	1.000000	-1.000000	-0.300000
0.000000	2.000000	0.000000	0.000000	0.375000	1.000000
0.000000	2.000000	0.000000	0.200000	-0.125000	1.000000
0.000000	2.000000	0.000000	0.400000	-0.625000	1.000000
0.000000	2.000000	0.000000	0.600000	-1.000000	1.000000
0.000000	2.000000	0.000000	0.800000	-1.000000	1.000000
0.000000	2.000000	0.000000	1.000000	-1.000000	0.700000
0.000000	2.000000	7.500000	0.000000	0.250000	0.500000
0.000000	2.000000	7.500000	0.200000	-0.125000	1.000000
0.000000	2.000000	7.500000	0.400000	-0.625000	1.000000
0.000000	2.000000	7.500000	0.600000	-1.000000	1.000000
0.000000	2.000000	7.500000	0.800000	-1.000000	1.000000
0.000000	2.000000	7.500000	1.000000	-1.000000	1.000000
0.000000	2.000000	15.000000	0.000000	0.250000	1.000000
0.000000	2.000000	15.000000	0.200000	-0.250000	1.000000
0.000000	2.000000	15.000000	0.400000	-0.750000	1.000000
0.000000	2.000000	15.000000	0.600000	-1.000000	1.000000
0.000000	2.000000	15.000000	0.800000	-1.000000	1.000000
0.000000	2.000000	15.000000	1.000000	-1.000000	1.000000
0.000000	2.000000	22.500000	0.000000	0.250000	1.000000
0.000000	2.000000	22.500000	0.200000	-0.250000	1.000000
0.000000	2.000000	22.500000	0.400000	-0.750000	1.000000
0.000000	2.000000	22.500000	0.600000	-1.000000	1.000000
0.000000	2.000000	22.500000	0.800000	-1.000000	1.000000
0.000000	2.000000	22.500000	1.000000	-1.000000	0.000000
0.000000	2.000000	30.000000	0.000000	0.125000	1.000000
0.000000	2.000000	30.000000	0.200000	-0.375000	1.000000
0.000000	2.000000	30.000000	0.400000	-0.750000	1.000000
0.000000	2.000000	30.000000	0.600000	-1.000000	1.000000
0.000000	2.000000	30.000000	0.800000	-1.000000	0.000000
0.000000	2.000000	30.000000	1.000000	-1.000000	0.000000
0.000000	2.000000	37.500000	0.000000	-1.000000	1.000000
0.000000	2.000000	37.500000	0.200000	-1.000000	1.000000
0.000000	2.000000	37.500000	0.400000	-1.000000	1.000000
0.000000	2.000000	37.500000	0.600000	-1.000000	1.000000
0.000000	2.000000	37.500000	0.800000	-1.000000	0.000000
0.000000	2.000000	37.500000	1.000000	-1.000000	0.000000
0.000000	2.000000	45.000000	0.000000	-1.000000	1.000000
0.000000	2.000000	45.000000	0.200000	-1.000000	1.000000
0.000000	2.000000	45.000000	0.400000	-1.000000	1.000000
0.000000	2.000000	45.000000	0.600000	-1.000000	0.000000
0.000000	2.000000	45.000000	0.800000	-1.000000	0.000000
0.000000	2.000000	45.000000	1.000000	-1.000000	0.000000
0.250000	0.000000	-45.000000	0.000000	-1.000000	-1.000000
0.250000	0.000000	-45.000000	0.200000	-1.000000	-1.000000
0.250000	0.000000	-45.000000	0.400000	-1.000000	-1.000000
0.250000	0.000000	-45.000000	0.600000	-1.000000	0.000000
0.250000	0.000000	-45.000000	0.800000	-1.000000	0.000000
0.250000	0.000000	-45.000000	1.000000	-1.000000	0.000000
0.250000	0.000000	-37.500000	0.000000	-1.000000	-1.000000
0.250000	0.000000	-37.500000	0.200000	-1.000000	-1.000000
0.250000	0.000000	-37.500000	0.400000	-1.000000	-1.000000
0.250000	0.000000	-37.500000	0.600000	-1.000000	0.000000
0.250000	0.000000	-37.500000	0.800000	-1.000000	0.000000
0.250000	0.000000	-37.500000	1.000000	-1.000000	0.000000
0.250000	0.000000	-30.000000	0.000000	-1.000000	-1.000000
0.250000	0.000000	-30.000000	0.200000	-0.375000	-1.000000
0.250000	0.000000	-30.000000	0.400000	-0.875000	-1.000000
0.250000	0.000000	-30.000000	0.600000	-1.000000	0.000000
0.250000	0.000000	-30.000000	0.800000	-1.000000	0.000000
0.250000	0.000000	-30.000000	1.000000	-1.000000	0.000000
0.250000	0.000000	-22.500000	0.000000	0.125000	-1.000000
0.250000	0.000000	-22.500000	0.200000	-0.375000	-1.000000
0.250000	0.000000	-22.500000	0.400000	-0.875000	-1.000000
0.250000	0.000000	-22.500000	0.600000	-1.000000	-1.000000
0.250000	0.000000	-22.500000	0.800000	-1.000000	0.000000
0.250000	0.000000	-22.500000	1.000000	-1.000000	0.000000
0.250000	0.000000	-15.000000	0.000000	0.125000	-1.000000
0.250000	0.000000	-15.000000	0.200000	-0.375000	-1.000000
0.250000	0.000000	-15.000000	0.400000	-0.875000	-1.000000
0.250000	0.000000	-15.000000	0.600000	-1.000000	-1.000000
0.250000	0.000000	-15.000000	0.800000	-1.000000	-1.000000
0.250000	0.000000	-15.000000	1.000000	-1.000000	0.000000
0.250000	0.000000	-7.500000	0.000000	0.125000	-0.500000
0.250000	0.000000	-7.500000	0.200000	-0.375000	-0.500000
0.250000	0.000000	-7.500000	0.400000	-0.875000	-0.500000
0.250000	0.000000	-7.500000	0.600000	-1.000000	-1.000000
0.250000	0.000000	-7.500000	0.800000	-1.000000	-1.000000
0.250000	0.000000	-7.500000	1.000000	-1.000000	-1.000000
0.250000	0.000000	0.000000	0.000000	0.250000	-1.000000
0.250000	0.000000	0.000000	0.200000	-0.250000	-1.000000
0.250000	0.000000	0.000000	0.400000	-0.750000	-1.000000
0.250000	0.000000	0.000000	0.600000	-1.000000	-1.000000
0.250000	0.000000	0.000000	0.800000	-1.000000	-1.000000
0.250000	0.000000	0.000000	1.000000	-1.000000	-1.000000
0.250000	0.000000	7.500000	0.000000	0.625000	-1.000000
0.250000	0.000000	7.500000	0.200000	0.250000	-1.000000
0.250000	0.000000	7.500000	0.400000	-0.250000	-1.000000
0.250000	0.000000	7.500000	0.600000	-0.750000	-1.000000
0.250000	0.000000	7.500000	0.800000	-1.000000	-0.550000
0.250000	0.000000	7.500000	1.000000	-1.000000	0.000000
0.250000	0.000000	15.000000	0.000000	0.500000	-0.950000
